"thing_author_id","key.event","comments_count","collection_count","downloads_count","files_count","thing_like_count","made_count","remix_count","remixed_froms_count","views_count","tags_count","design.strategy","ES1","ES2","ES3","ES4"
"madscifi","1",13,386,4485,8,306,54,7,2,28499,22,"blended",0,0,0,1
"madskilzzz","2",0,0,31,1,0,0,0,1,153,1,"free-riding",0,1,0,0
"madsoup","3",0,0,189,9,0,0,0,9,1050,8,"free-riding",0,1,0,0
"Madwinter","3",2,28,267,12,26,0,0,0,1224,0,"private",0,1,0,0
"maen","3",0,0,26,2,0,0,0,2,129,2,"free-riding",0,1,0,0
"maerkligdesign","2",0,5,277,3,13,0,0,0,1629,5,"private",0,1,0,0
"mAEssiv","2",0,0,51,1,0,0,0,1,259,1,"free-riding",1,0,0,0
"maestrods","2",0,5,100,2,4,0,0,0,598,0,"private",0,1,0,0
"maexio","2",0,0,41,1,0,0,0,1,291,1,"free-riding",0,1,0,0
"MAF","1",17,295,3248,12,229,0,0,1,39032,38,"blended",0,1,0,0
"MAF","2",15,715,2524,12,520,1,1,1,39410,50,"blended",0.25,0.75,0,0
"mafecas","3",0,0,117,11,0,0,0,10,535,9,"free-riding",0,0.833333333333333,0,0.166666666666667
"maffetka","3",0,0,8,1,0,0,0,1,57,1,"free-riding",0,1,0,0
"mafh22","3",1,3,75,2,2,0,0,1,314,1,"blended",0,1,0,0
"mafkeesie2001","3",0,0,175,12,0,0,0,12,739,12,"free-riding",0.2,0.8,0,0
"Mafu","3",0,17,133,2,10,0,0,0,655,10,"private",0,1,0,0
"maga2811","1",1,13,879,4,14,0,0,0,2666,3,"private",0,1,0,0
"maga2811","2",0,28,557,3,22,0,0,0,4607,6,"private",0,1,0,0
"magaraadami","3",0,0,24,1,0,0,0,0,240,0,"private",0,1,0,0
"Magathery","3",2,7,80,2,3,0,0,0,551,0,"private",0,1,0,0
"magdakuit","3",0,0,12,1,0,0,0,1,69,1,"free-riding",0,1,0,0
"magdesign","1",27,241,4393,10,263,13,0,0,20812,46,"private",0,0.8,0.2,0
"magdesign","2",3,18,351,5,18,0,0,0,3797,6,"private",0.5,0.5,0,0
"magdesign","3",0,5,151,4,11,0,0,0,1196,20,"private",0.5,0.5,0,0
"mageli","3",40,685,6004,34,709,39,0,2,27666,23,"blended",0.9,0.1,0,0
"magemasterz","2",0,1,85,2,1,0,0,0,393,0,"private",0,1,0,0
"magenta4c","2",0,0,164,6,0,0,0,4,681,4,"free-riding",0,1,0,0
"Mageri","3",0,0,14,1,1,0,0,1,80,0,"free-riding",1,0,0,0
"mageshkhanna","3",1,2,24,1,1,0,0,0,281,0,"private",0,1,0,0
"Maggia","3",0,1,22,1,2,0,0,1,123,1,"free-riding",1,0,0,0
"maggiemeiklejohn","3",0,0,159,6,9,0,0,0,1072,0,"private",0,1,0,0
"magic_nugget","3",0,0,17,1,0,0,0,1,101,0,"free-riding",1,0,0,0
