"","out","made_count","files_count","thing_like_count","collection_count","LC1","LC2","LC3"
"out",1,0.316841979308363,0.174498571919874,0.416930303753822,0.419632654649909,0.0472254618575931,0.115965828820251,0.0222544339163541
"made_count",0.316841979308363,1,0.415636162624276,0.837970599638058,0.844368782520393,0.319260648849826,0.332627562199449,0.274642925592746
"files_count",0.174498571919874,0.415636162624276,1,0.544140606245321,0.539485239157777,0.39029570237531,0.629779182761453,0.255184503037686
"thing_like_count",0.416930303753822,0.837970599638058,0.544140606245321,1,0.989761820094168,0.371677152996331,0.434040498535391,0.258100795843693
"collection_count",0.419632654649909,0.844368782520393,0.539485239157777,0.989761820094168,1,0.373240012073071,0.43596737881657,0.261351010672862
"LC1",0.0472254618575931,0.319260648849826,0.39029570237531,0.371677152996331,0.373240012073071,1,0.120062982666359,0.062133224913167
"LC2",0.115965828820251,0.332627562199449,0.629779182761453,0.434040498535391,0.43596737881657,0.120062982666359,1,0.112730669620261
"LC3",0.0222544339163541,0.274642925592746,0.255184503037686,0.258100795843693,0.261351010672862,0.062133224913167,0.112730669620261,1
